1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E50000006CB73241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 14:51:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Apr 07 20:51:01 PDT 2023
Total Mission Samples:  4965
Total Device Samples:  27880
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/7/23, 8:51:01 PM,C,9.076
4/7/23, 9:51:01 PM,C,8.073
4/7/23, 10:51:01 PM,C,7.069
4/7/23, 11:51:01 PM,C,6.567
4/8/23, 12:51:01 AM,C,8.073
4/8/23, 1:51:01 AM,C,7.069
4/8/23, 2:51:01 AM,C,6.066
4/8/23, 3:51:01 AM,C,7.571
4/8/23, 4:51:01 AM,C,7.571
4/8/23, 5:51:01 AM,C,7.571
4/8/23, 6:51:01 AM,C,7.069
4/8/23, 7:51:01 AM,C,11.583
4/8/23, 8:51:01 AM,C,21.6
4/8/23, 9:51:01 AM,C,25.602
4/8/23, 10:51:01 AM,C,27.101
4/8/23, 11:51:01 AM,C,28.101
4/8/23, 12:51:01 PM,C,29.1
4/8/23, 1:51:01 PM,C,28.101
4/8/23, 2:51:01 PM,C,26.102
4/8/23, 3:51:01 PM,C,27.101
4/8/23, 4:51:01 PM,C,23.101
4/8/23, 5:51:01 PM,C,18.096
4/8/23, 6:51:01 PM,C,15.091
4/8/23, 7:51:01 PM,C,12.586
4/8/23, 8:51:01 PM,C,10.58
4/8/23, 9:51:01 PM,C,9.076
4/8/23, 10:51:01 PM,C,8.073
4/8/23, 11:51:01 PM,C,7.571
4/9/23, 12:51:01 AM,C,7.571
4/9/23, 1:51:01 AM,C,7.571
4/9/23, 2:51:01 AM,C,9.076
4/9/23, 3:51:01 AM,C,7.069
4/9/23, 4:51:01 AM,C,6.567
4/9/23, 5:51:01 AM,C,7.571
4/9/23, 6:51:01 AM,C,7.069
4/9/23, 7:51:01 AM,C,18.597
4/9/23, 8:51:01 AM,C,23.601
4/9/23, 9:51:01 AM,C,27.601
4/9/23, 10:51:01 AM,C,33.595
4/9/23, 11:51:01 AM,C,33.595
4/9/23, 12:51:01 PM,C,35.592
4/9/23, 1:51:01 PM,C,36.091
4/9/23, 2:51:01 PM,C,37.089
4/9/23, 3:51:01 PM,C,35.093
4/9/23, 4:51:01 PM,C,28.601
4/9/23, 5:51:01 PM,C,22.601
4/9/23, 6:51:01 PM,C,18.096
4/9/23, 7:51:01 PM,C,15.091
4/9/23, 8:51:01 PM,C,12.586
4/9/23, 9:51:01 PM,C,11.583
4/9/23, 10:51:01 PM,C,12.084
4/9/23, 11:51:01 PM,C,12.084
4/10/23, 12:51:01 AM,C,10.58
4/10/23, 1:51:01 AM,C,12.586
4/10/23, 2:51:01 AM,C,11.583
4/10/23, 3:51:01 AM,C,11.583
4/10/23, 4:51:01 AM,C,12.084
4/10/23, 5:51:01 AM,C,12.084
4/10/23, 6:51:01 AM,C,12.586
4/10/23, 7:51:01 AM,C,21.1
4/10/23, 8:51:01 AM,C,27.601
4/10/23, 9:51:01 AM,C,31.099
4/10/23, 10:51:01 AM,C,36.091
4/10/23, 11:51:01 AM,C,36.59
4/10/23, 12:51:01 PM,C,36.091
4/10/23, 1:51:01 PM,C,36.091
4/10/23, 2:51:01 PM,C,34.095
4/10/23, 3:51:01 PM,C,32.597
4/10/23, 4:51:01 PM,C,29.1
4/10/23, 5:51:01 PM,C,22.601
4/10/23, 6:51:01 PM,C,19.098
4/10/23, 7:51:01 PM,C,16.093
4/10/23, 8:51:01 PM,C,14.59
4/10/23, 9:51:01 PM,C,13.087
4/10/23, 10:51:01 PM,C,12.586
4/10/23, 11:51:01 PM,C,12.586
4/11/23, 12:51:01 AM,C,12.586
4/11/23, 1:51:01 AM,C,12.084
4/11/23, 2:51:01 AM,C,11.583
4/11/23, 3:51:01 AM,C,10.58
4/11/23, 4:51:01 AM,C,10.079
4/11/23, 5:51:01 AM,C,7.571
4/11/23, 6:51:01 AM,C,8.073
4/11/23, 7:51:01 AM,C,20.599
4/11/23, 8:51:01 AM,C,26.102
4/11/23, 9:51:01 AM,C,30.1
4/11/23, 10:51:01 AM,C,31.598
4/11/23, 11:51:01 AM,C,32.098
4/11/23, 12:51:01 PM,C,33.096
4/11/23, 1:51:01 PM,C,31.099
4/11/23, 2:51:01 PM,C,31.099
4/11/23, 3:51:01 PM,C,31.099
4/11/23, 4:51:01 PM,C,25.602
4/11/23, 5:51:01 PM,C,21.1
4/11/23, 6:51:01 PM,C,18.096
4/11/23, 7:51:01 PM,C,14.089
4/11/23, 8:51:01 PM,C,12.084
4/11/23, 9:51:01 PM,C,11.082
4/11/23, 10:51:01 PM,C,11.082
4/11/23, 11:51:01 PM,C,9.577
4/12/23, 12:51:01 AM,C,9.577
4/12/23, 1:51:01 AM,C,8.574
4/12/23, 2:51:01 AM,C,10.079
4/12/23, 3:51:01 AM,C,10.58
4/12/23, 4:51:01 AM,C,10.58
4/12/23, 5:51:01 AM,C,10.58
4/12/23, 6:51:01 AM,C,10.58
4/12/23, 7:51:01 AM,C,11.082
4/12/23, 8:51:01 AM,C,11.583
4/12/23, 9:51:01 AM,C,13.087
4/12/23, 10:51:01 AM,C,15.091
4/12/23, 11:51:01 AM,C,20.099
4/12/23, 12:51:01 PM,C,24.101
4/12/23, 1:51:01 PM,C,21.1
4/12/23, 2:51:01 PM,C,19.098
4/12/23, 3:51:01 PM,C,16.594
4/12/23, 4:51:01 PM,C,14.089
4/12/23, 5:51:01 PM,C,13.588
4/12/23, 6:51:01 PM,C,12.084
4/12/23, 7:51:01 PM,C,11.583
4/12/23, 8:51:01 PM,C,11.082
4/12/23, 9:51:01 PM,C,11.082
4/12/23, 10:51:01 PM,C,11.082
4/12/23, 11:51:01 PM,C,11.082
4/13/23, 12:51:01 AM,C,11.082
4/13/23, 1:51:01 AM,C,11.082
4/13/23, 2:51:01 AM,C,11.082
4/13/23, 3:51:01 AM,C,11.082
4/13/23, 4:51:01 AM,C,11.082
4/13/23, 5:51:01 AM,C,11.082
4/13/23, 6:51:01 AM,C,10.58
4/13/23, 7:51:01 AM,C,11.082
4/13/23, 8:51:01 AM,C,21.1
4/13/23, 9:51:01 AM,C,24.101
4/13/23, 10:51:01 AM,C,17.596
4/13/23, 11:51:01 AM,C,16.093
4/13/23, 12:51:01 PM,C,15.592
4/13/23, 1:51:01 PM,C,16.594
4/13/23, 2:51:01 PM,C,15.091
4/13/23, 3:51:01 PM,C,14.089
4/13/23, 4:51:01 PM,C,14.089
4/13/23, 5:51:01 PM,C,12.586
4/13/23, 6:51:01 PM,C,11.583
4/13/23, 7:51:01 PM,C,11.082
4/13/23, 8:51:01 PM,C,10.58
4/13/23, 9:51:01 PM,C,10.079
4/13/23, 10:51:01 PM,C,9.076
4/13/23, 11:51:01 PM,C,8.574
4/14/23, 12:51:01 AM,C,8.073
4/14/23, 1:51:01 AM,C,6.066
4/14/23, 2:51:01 AM,C,4.56
4/14/23, 3:51:01 AM,C,4.058
4/14/23, 4:51:01 AM,C,5.564
4/14/23, 5:51:01 AM,C,3.556
4/14/23, 6:51:01 AM,C,6.567
4/14/23, 7:51:01 AM,C,8.574
4/14/23, 8:51:01 AM,C,19.098
4/14/23, 9:51:01 AM,C,22.1
4/14/23, 10:51:01 AM,C,24.101
4/14/23, 11:51:01 AM,C,25.602
4/14/23, 12:51:01 PM,C,26.102
4/14/23, 1:51:01 PM,C,25.602
4/14/23, 2:51:01 PM,C,23.601
4/14/23, 3:51:01 PM,C,25.102
4/14/23, 4:51:01 PM,C,21.6
4/14/23, 5:51:01 PM,C,15.091
4/14/23, 6:51:01 PM,C,12.586
4/14/23, 7:51:01 PM,C,10.079
4/14/23, 8:51:01 PM,C,7.571
4/14/23, 9:51:01 PM,C,6.567
4/14/23, 10:51:01 PM,C,5.564
4/14/23, 11:51:01 PM,C,5.062
4/15/23, 12:51:01 AM,C,5.564
4/15/23, 1:51:01 AM,C,5.062
4/15/23, 2:51:01 AM,C,5.564
4/15/23, 3:51:01 AM,C,6.066
4/15/23, 4:51:01 AM,C,6.066
4/15/23, 5:51:01 AM,C,5.564
4/15/23, 6:51:01 AM,C,5.564
4/15/23, 7:51:01 AM,C,13.087
4/15/23, 8:51:01 AM,C,19.598
4/15/23, 9:51:01 AM,C,24.601
4/15/23, 10:51:01 AM,C,28.101
4/15/23, 11:51:01 AM,C,30.1
4/15/23, 12:51:01 PM,C,32.098
4/15/23, 1:51:01 PM,C,34.095
4/15/23, 2:51:01 PM,C,32.098
4/15/23, 3:51:01 PM,C,29.1
4/15/23, 4:51:01 PM,C,25.602
4/15/23, 5:51:01 PM,C,19.098
4/15/23, 6:51:01 PM,C,15.592
4/15/23, 7:51:01 PM,C,10.58
4/15/23, 8:51:01 PM,C,8.574
4/15/23, 9:51:01 PM,C,7.571
4/15/23, 10:51:01 PM,C,10.079
4/15/23, 11:51:01 PM,C,8.073
4/16/23, 12:51:01 AM,C,6.066
4/16/23, 1:51:01 AM,C,6.567
4/16/23, 2:51:01 AM,C,7.069
4/16/23, 3:51:01 AM,C,7.069
4/16/23, 4:51:01 AM,C,6.066
4/16/23, 5:51:01 AM,C,6.066
4/16/23, 6:51:01 AM,C,7.571
4/16/23, 7:51:01 AM,C,15.091
4/16/23, 8:51:01 AM,C,20.099
4/16/23, 9:51:01 AM,C,26.601
4/16/23, 10:51:01 AM,C,29.6
4/16/23, 11:51:01 AM,C,29.6
4/16/23, 12:51:01 PM,C,28.101
4/16/23, 1:51:01 PM,C,28.601
4/16/23, 2:51:01 PM,C,29.6
4/16/23, 3:51:01 PM,C,27.601
4/16/23, 4:51:01 PM,C,24.101
4/16/23, 5:51:01 PM,C,18.096
4/16/23, 6:51:01 PM,C,15.091
4/16/23, 7:51:01 PM,C,12.586
4/16/23, 8:51:01 PM,C,9.076
4/16/23, 9:51:01 PM,C,7.571
4/16/23, 10:51:01 PM,C,7.069
4/16/23, 11:51:01 PM,C,7.571
4/17/23, 12:51:01 AM,C,6.567
4/17/23, 1:51:01 AM,C,6.066
4/17/23, 2:51:01 AM,C,5.564
4/17/23, 3:51:01 AM,C,6.567
4/17/23, 4:51:01 AM,C,5.564
4/17/23, 5:51:01 AM,C,5.062
4/17/23, 6:51:01 AM,C,6.066
4/17/23, 7:51:01 AM,C,11.082
4/17/23, 8:51:01 AM,C,15.592
4/17/23, 9:51:01 AM,C,17.095
4/17/23, 10:51:01 AM,C,19.098
4/17/23, 11:51:01 AM,C,24.101
4/17/23, 12:51:01 PM,C,25.102
4/17/23, 1:51:01 PM,C,25.102
4/17/23, 2:51:01 PM,C,24.601
4/17/23, 3:51:01 PM,C,22.601
4/17/23, 4:51:01 PM,C,19.598
4/17/23, 5:51:01 PM,C,14.59
4/17/23, 6:51:01 PM,C,11.583
4/17/23, 7:51:01 PM,C,11.082
4/17/23, 8:51:01 PM,C,11.583
4/17/23, 9:51:01 PM,C,12.084
4/17/23, 10:51:01 PM,C,11.583
4/17/23, 11:51:01 PM,C,11.583
4/18/23, 12:51:01 AM,C,11.583
4/18/23, 1:51:01 AM,C,11.583
4/18/23, 2:51:01 AM,C,11.583
4/18/23, 3:51:01 AM,C,10.58
4/18/23, 4:51:01 AM,C,10.079
4/18/23, 5:51:01 AM,C,9.577
4/18/23, 6:51:01 AM,C,10.58
4/18/23, 7:51:01 AM,C,11.583
4/18/23, 8:51:01 AM,C,15.592
4/18/23, 9:51:01 AM,C,24.601
4/18/23, 10:51:01 AM,C,28.101
4/18/23, 11:51:01 AM,C,29.6
4/18/23, 12:51:01 PM,C,22.1
4/18/23, 1:51:01 PM,C,21.6
4/18/23, 2:51:01 PM,C,27.101
4/18/23, 3:51:01 PM,C,25.602
4/18/23, 4:51:01 PM,C,20.599
4/18/23, 5:51:01 PM,C,16.594
4/18/23, 6:51:01 PM,C,14.089
4/18/23, 7:51:01 PM,C,10.58
4/18/23, 8:51:01 PM,C,8.574
4/18/23, 9:51:01 PM,C,7.069
4/18/23, 10:51:01 PM,C,6.567
4/18/23, 11:51:01 PM,C,5.564
4/19/23, 12:51:01 AM,C,4.56
4/19/23, 1:51:01 AM,C,3.556
4/19/23, 2:51:01 AM,C,3.054
4/19/23, 3:51:01 AM,C,2.551
4/19/23, 4:51:01 AM,C,2.049
4/19/23, 5:51:01 AM,C,3.054
4/19/23, 6:51:01 AM,C,6.066
4/19/23, 7:51:01 AM,C,11.583
4/19/23, 8:51:01 AM,C,15.592
4/19/23, 9:51:01 AM,C,18.096
4/19/23, 10:51:01 AM,C,22.1
4/19/23, 11:51:01 AM,C,24.101
4/19/23, 12:51:01 PM,C,28.101
4/19/23, 1:51:01 PM,C,27.601
4/19/23, 2:51:01 PM,C,27.601
4/19/23, 3:51:01 PM,C,25.602
4/19/23, 4:51:01 PM,C,23.101
4/19/23, 5:51:01 PM,C,16.594
4/19/23, 6:51:01 PM,C,12.586
4/19/23, 7:51:01 PM,C,11.583
4/19/23, 8:51:01 PM,C,11.082
4/19/23, 9:51:01 PM,C,11.583
4/19/23, 10:51:01 PM,C,10.079
4/19/23, 11:51:01 PM,C,9.577
4/20/23, 12:51:01 AM,C,9.076
4/20/23, 1:51:01 AM,C,7.571
4/20/23, 2:51:01 AM,C,8.073
4/20/23, 3:51:01 AM,C,8.073
4/20/23, 4:51:01 AM,C,9.076
4/20/23, 5:51:01 AM,C,7.069
4/20/23, 6:51:01 AM,C,9.076
4/20/23, 7:51:01 AM,C,18.597
4/20/23, 8:51:01 AM,C,25.602
4/20/23, 9:51:01 AM,C,26.601
4/20/23, 10:51:01 AM,C,29.1
4/20/23, 11:51:01 AM,C,32.098
4/20/23, 12:51:01 PM,C,32.098
4/20/23, 1:51:01 PM,C,33.096
4/20/23, 2:51:01 PM,C,32.597
4/20/23, 3:51:01 PM,C,32.098
4/20/23, 4:51:01 PM,C,29.1
4/20/23, 5:51:01 PM,C,20.599
4/20/23, 6:51:01 PM,C,15.592
4/20/23, 7:51:01 PM,C,14.089
4/20/23, 8:51:01 PM,C,11.583
4/20/23, 9:51:01 PM,C,11.082
4/20/23, 10:51:01 PM,C,10.079
4/20/23, 11:51:01 PM,C,9.076
4/21/23, 12:51:01 AM,C,10.58
4/21/23, 1:51:01 AM,C,8.574
4/21/23, 2:51:01 AM,C,7.571
4/21/23, 3:51:01 AM,C,7.571
4/21/23, 4:51:01 AM,C,7.069
4/21/23, 5:51:01 AM,C,9.076
4/21/23, 6:51:01 AM,C,9.577
4/21/23, 7:51:01 AM,C,21.6
4/21/23, 8:51:01 AM,C,27.601
4/21/23, 9:51:01 AM,C,33.096
4/21/23, 10:51:01 AM,C,37.089
4/21/23, 11:51:01 AM,C,38.585
4/21/23, 12:51:01 PM,C,39.084
4/21/23, 1:51:01 PM,C,40.58
4/21/23, 2:51:01 PM,C,40.082
4/21/23, 3:51:01 PM,C,38.585
4/21/23, 4:51:01 PM,C,33.096
4/21/23, 5:51:01 PM,C,24.601
4/21/23, 6:51:01 PM,C,18.597
4/21/23, 7:51:01 PM,C,17.095
4/21/23, 8:51:01 PM,C,19.098
4/21/23, 9:51:01 PM,C,15.091
4/21/23, 10:51:01 PM,C,14.59
4/21/23, 11:51:01 PM,C,15.091
4/22/23, 12:51:01 AM,C,15.592
4/22/23, 1:51:01 AM,C,13.087
4/22/23, 2:51:01 AM,C,10.079
4/22/23, 3:51:01 AM,C,9.076
4/22/23, 4:51:01 AM,C,9.076
4/22/23, 5:51:01 AM,C,9.577
4/22/23, 6:51:01 AM,C,10.58
4/22/23, 7:51:01 AM,C,22.601
4/22/23, 8:51:01 AM,C,29.1
4/22/23, 9:51:01 AM,C,33.096
4/22/23, 10:51:01 AM,C,37.089
4/22/23, 11:51:01 AM,C,36.59
4/22/23, 12:51:01 PM,C,37.089
4/22/23, 1:51:01 PM,C,38.087
4/22/23, 2:51:01 PM,C,40.082
4/22/23, 3:51:01 PM,C,35.592
4/22/23, 4:51:01 PM,C,31.099
4/22/23, 5:51:01 PM,C,24.601
4/22/23, 6:51:01 PM,C,21.6
4/22/23, 7:51:01 PM,C,17.095
4/22/23, 8:51:01 PM,C,15.091
4/22/23, 9:51:01 PM,C,15.091
4/22/23, 10:51:01 PM,C,13.087
4/22/23, 11:51:01 PM,C,12.586
4/23/23, 12:51:01 AM,C,12.084
4/23/23, 1:51:01 AM,C,11.583
4/23/23, 2:51:01 AM,C,10.58
4/23/23, 3:51:01 AM,C,11.082
4/23/23, 4:51:01 AM,C,10.079
4/23/23, 5:51:01 AM,C,9.577
4/23/23, 6:51:01 AM,C,9.577
4/23/23, 7:51:01 AM,C,22.1
4/23/23, 8:51:01 AM,C,30.1
4/23/23, 9:51:01 AM,C,31.598
4/23/23, 10:51:01 AM,C,33.595
4/23/23, 11:51:01 AM,C,33.595
4/23/23, 12:51:01 PM,C,33.096
4/23/23, 1:51:01 PM,C,33.595
4/23/23, 2:51:01 PM,C,33.595
4/23/23, 3:51:01 PM,C,30.1
4/23/23, 4:51:01 PM,C,27.601
4/23/23, 5:51:01 PM,C,22.1
4/23/23, 6:51:01 PM,C,19.098
4/23/23, 7:51:01 PM,C,16.093
4/23/23, 8:51:01 PM,C,14.089
4/23/23, 9:51:01 PM,C,11.583
4/23/23, 10:51:01 PM,C,10.58
4/23/23, 11:51:01 PM,C,11.082
4/24/23, 12:51:01 AM,C,9.076
4/24/23, 1:51:01 AM,C,10.58
4/24/23, 2:51:01 AM,C,11.082
4/24/23, 3:51:01 AM,C,11.082
4/24/23, 4:51:01 AM,C,10.58
4/24/23, 5:51:01 AM,C,10.58
4/24/23, 6:51:01 AM,C,10.58
4/24/23, 7:51:01 AM,C,13.087
4/24/23, 8:51:01 AM,C,17.596
4/24/23, 9:51:01 AM,C,22.1
4/24/23, 10:51:01 AM,C,29.6
4/24/23, 11:51:01 AM,C,30.599
4/24/23, 12:51:01 PM,C,30.1
4/24/23, 1:51:01 PM,C,32.597
4/24/23, 2:51:01 PM,C,32.098
4/24/23, 3:51:01 PM,C,30.1
4/24/23, 4:51:01 PM,C,26.601
4/24/23, 5:51:01 PM,C,20.599
4/24/23, 6:51:01 PM,C,17.596
4/24/23, 7:51:01 PM,C,14.59
4/24/23, 8:51:01 PM,C,12.084
4/24/23, 9:51:01 PM,C,11.583
4/24/23, 10:51:01 PM,C,10.079
4/24/23, 11:51:01 PM,C,11.583
4/25/23, 12:51:01 AM,C,11.583
4/25/23, 1:51:01 AM,C,11.583
4/25/23, 2:51:01 AM,C,12.084
4/25/23, 3:51:01 AM,C,11.583
4/25/23, 4:51:01 AM,C,11.082
4/25/23, 5:51:01 AM,C,10.58
4/25/23, 6:51:01 AM,C,11.082
4/25/23, 7:51:01 AM,C,12.586
4/25/23, 8:51:01 AM,C,16.093
4/25/23, 9:51:01 AM,C,23.101
4/25/23, 10:51:01 AM,C,26.601
4/25/23, 11:51:01 AM,C,29.6
4/25/23, 12:51:01 PM,C,29.6
4/25/23, 1:51:01 PM,C,32.098
4/25/23, 2:51:01 PM,C,30.599
4/25/23, 3:51:01 PM,C,28.101
4/25/23, 4:51:01 PM,C,23.601
4/25/23, 5:51:01 PM,C,20.099
4/25/23, 6:51:01 PM,C,17.095
4/25/23, 7:51:01 PM,C,14.59
4/25/23, 8:51:01 PM,C,12.084
4/25/23, 9:51:01 PM,C,10.58
4/25/23, 10:51:01 PM,C,10.079
4/25/23, 11:51:01 PM,C,8.073
4/26/23, 12:51:01 AM,C,8.574
4/26/23, 1:51:01 AM,C,10.079
4/26/23, 2:51:01 AM,C,8.073
4/26/23, 3:51:01 AM,C,9.577
4/26/23, 4:51:01 AM,C,8.073
4/26/23, 5:51:01 AM,C,8.073
4/26/23, 6:51:01 AM,C,8.574
4/26/23, 7:51:01 AM,C,18.096
4/26/23, 8:51:01 AM,C,26.102
4/26/23, 9:51:01 AM,C,32.597
4/26/23, 10:51:01 AM,C,36.59
4/26/23, 11:51:01 AM,C,39.084
4/26/23, 12:51:01 PM,C,39.084
4/26/23, 1:51:01 PM,C,38.585
4/26/23, 2:51:01 PM,C,35.592
4/26/23, 3:51:01 PM,C,35.093
4/26/23, 4:51:01 PM,C,32.098
4/26/23, 5:51:01 PM,C,24.101
4/26/23, 6:51:01 PM,C,20.599
4/26/23, 7:51:01 PM,C,16.093
4/26/23, 8:51:01 PM,C,13.087
4/26/23, 9:51:01 PM,C,12.586
4/26/23, 10:51:01 PM,C,12.084
4/26/23, 11:51:01 PM,C,13.588
4/27/23, 12:51:01 AM,C,10.58
4/27/23, 1:51:01 AM,C,13.087
4/27/23, 2:51:01 AM,C,10.58
4/27/23, 3:51:01 AM,C,10.58
4/27/23, 4:51:01 AM,C,10.58
4/27/23, 5:51:01 AM,C,8.073
4/27/23, 6:51:01 AM,C,10.079
4/27/23, 7:51:01 AM,C,22.601
4/27/23, 8:51:01 AM,C,28.101
4/27/23, 9:51:01 AM,C,34.095
4/27/23, 10:51:01 AM,C,37.588
4/27/23, 11:51:01 AM,C,36.59
4/27/23, 12:51:01 PM,C,36.091
4/27/23, 1:51:01 PM,C,38.585
4/27/23, 2:51:01 PM,C,35.592
4/27/23, 3:51:01 PM,C,33.595
4/27/23, 4:51:01 PM,C,30.599
4/27/23, 5:51:01 PM,C,23.101
4/27/23, 6:51:01 PM,C,19.098
4/27/23, 7:51:01 PM,C,15.091
4/27/23, 8:51:01 PM,C,13.588
4/27/23, 9:51:01 PM,C,12.586
4/27/23, 10:51:01 PM,C,13.087
4/27/23, 11:51:01 PM,C,12.084
4/28/23, 12:51:01 AM,C,11.583
4/28/23, 1:51:01 AM,C,10.58
4/28/23, 2:51:01 AM,C,10.58
4/28/23, 3:51:01 AM,C,9.577
4/28/23, 4:51:01 AM,C,10.58
4/28/23, 5:51:01 AM,C,10.079
4/28/23, 6:51:01 AM,C,10.58
4/28/23, 7:51:01 AM,C,21.1
4/28/23, 8:51:01 AM,C,28.601
4/28/23, 9:51:01 AM,C,32.597
4/28/23, 10:51:01 AM,C,35.592
4/28/23, 11:51:01 AM,C,37.089
4/28/23, 12:51:01 PM,C,34.594
4/28/23, 1:51:01 PM,C,36.091
4/28/23, 2:51:01 PM,C,35.592
4/28/23, 3:51:01 PM,C,33.096
4/28/23, 4:51:01 PM,C,29.6
4/28/23, 5:51:01 PM,C,23.601
4/28/23, 6:51:01 PM,C,19.098
4/28/23, 7:51:01 PM,C,15.592
4/28/23, 8:51:01 PM,C,12.586
4/28/23, 9:51:01 PM,C,12.586
4/28/23, 10:51:01 PM,C,11.583
4/28/23, 11:51:01 PM,C,11.082
4/29/23, 12:51:01 AM,C,10.58
4/29/23, 1:51:01 AM,C,10.079
4/29/23, 2:51:01 AM,C,9.577
4/29/23, 3:51:01 AM,C,8.574
4/29/23, 4:51:01 AM,C,9.076
4/29/23, 5:51:01 AM,C,9.577
4/29/23, 6:51:01 AM,C,9.577
4/29/23, 7:51:01 AM,C,19.098
4/29/23, 8:51:01 AM,C,26.601
4/29/23, 9:51:01 AM,C,32.098
4/29/23, 10:51:01 AM,C,36.091
4/29/23, 11:51:01 AM,C,37.089
4/29/23, 12:51:01 PM,C,36.59
4/29/23, 1:51:01 PM,C,37.089
4/29/23, 2:51:01 PM,C,35.093
4/29/23, 3:51:01 PM,C,34.594
4/29/23, 4:51:01 PM,C,30.599
4/29/23, 5:51:01 PM,C,24.601
4/29/23, 6:51:01 PM,C,19.598
4/29/23, 7:51:01 PM,C,15.091
4/29/23, 8:51:01 PM,C,12.586
4/29/23, 9:51:01 PM,C,12.084
4/29/23, 10:51:01 PM,C,11.583
4/29/23, 11:51:01 PM,C,10.58
4/30/23, 12:51:01 AM,C,10.079
4/30/23, 1:51:01 AM,C,10.079
4/30/23, 2:51:01 AM,C,11.082
4/30/23, 3:51:01 AM,C,9.577
4/30/23, 4:51:01 AM,C,11.082
4/30/23, 5:51:01 AM,C,11.082
4/30/23, 6:51:01 AM,C,12.084
4/30/23, 7:51:01 AM,C,15.091
4/30/23, 8:51:01 AM,C,20.599
4/30/23, 9:51:01 AM,C,28.101
4/30/23, 10:51:01 AM,C,29.6
4/30/23, 11:51:01 AM,C,32.098
4/30/23, 12:51:01 PM,C,33.096
4/30/23, 1:51:01 PM,C,33.595
4/30/23, 2:51:01 PM,C,32.597
4/30/23, 3:51:01 PM,C,30.599
4/30/23, 4:51:01 PM,C,25.102
4/30/23, 5:51:01 PM,C,19.598
4/30/23, 6:51:01 PM,C,16.594
4/30/23, 7:51:01 PM,C,13.588
4/30/23, 8:51:01 PM,C,12.084
4/30/23, 9:51:01 PM,C,12.586
4/30/23, 10:51:01 PM,C,13.087
4/30/23, 11:51:01 PM,C,13.087
5/1/23, 12:51:01 AM,C,12.586
5/1/23, 1:51:01 AM,C,12.084
5/1/23, 2:51:01 AM,C,12.084
5/1/23, 3:51:01 AM,C,11.583
5/1/23, 4:51:01 AM,C,11.583
5/1/23, 5:51:01 AM,C,11.082
5/1/23, 6:51:01 AM,C,11.082
5/1/23, 7:51:01 AM,C,11.583
5/1/23, 8:51:01 AM,C,14.089
5/1/23, 9:51:01 AM,C,17.095
5/1/23, 10:51:01 AM,C,17.596
5/1/23, 11:51:01 AM,C,18.096
5/1/23, 12:51:01 PM,C,18.597
5/1/23, 1:51:01 PM,C,19.598
5/1/23, 2:51:01 PM,C,19.598
5/1/23, 3:51:01 PM,C,17.596
5/1/23, 4:51:01 PM,C,19.598
5/1/23, 5:51:01 PM,C,15.592
5/1/23, 6:51:01 PM,C,13.588
5/1/23, 7:51:01 PM,C,11.583
5/1/23, 8:51:01 PM,C,9.076
5/1/23, 9:51:01 PM,C,9.076
5/1/23, 10:51:01 PM,C,9.577
5/1/23, 11:51:01 PM,C,10.079
5/2/23, 12:51:01 AM,C,9.577
5/2/23, 1:51:01 AM,C,9.577
5/2/23, 2:51:01 AM,C,9.577
5/2/23, 3:51:01 AM,C,9.577
5/2/23, 4:51:01 AM,C,9.076
5/2/23, 5:51:01 AM,C,8.574
5/2/23, 6:51:01 AM,C,8.574
5/2/23, 7:51:01 AM,C,11.082
5/2/23, 8:51:01 AM,C,19.098
5/2/23, 9:51:01 AM,C,14.59
5/2/23, 10:51:01 AM,C,14.59
5/2/23, 11:51:01 AM,C,18.597
5/2/23, 12:51:01 PM,C,23.601
5/2/23, 1:51:01 PM,C,21.1
5/2/23, 2:51:01 PM,C,21.6
5/2/23, 3:51:01 PM,C,15.592
5/2/23, 4:51:01 PM,C,21.6
5/2/23, 5:51:01 PM,C,14.089
5/2/23, 6:51:01 PM,C,11.082
5/2/23, 7:51:01 PM,C,9.076
5/2/23, 8:51:01 PM,C,7.571
5/2/23, 9:51:01 PM,C,6.567
5/2/23, 10:51:01 PM,C,4.56
5/2/23, 11:51:01 PM,C,4.058
5/3/23, 12:51:01 AM,C,2.551
5/3/23, 1:51:01 AM,C,3.054
5/3/23, 2:51:01 AM,C,2.551
5/3/23, 3:51:01 AM,C,3.054
5/3/23, 4:51:01 AM,C,3.054
5/3/23, 5:51:01 AM,C,2.551
5/3/23, 6:51:01 AM,C,4.058
5/3/23, 7:51:01 AM,C,13.087
5/3/23, 8:51:01 AM,C,20.099
5/3/23, 9:51:01 AM,C,24.101
5/3/23, 10:51:01 AM,C,25.602
5/3/23, 11:51:01 AM,C,18.096
5/3/23, 12:51:01 PM,C,15.592
5/3/23, 1:51:01 PM,C,16.594
5/3/23, 2:51:01 PM,C,18.597
5/3/23, 3:51:01 PM,C,22.1
5/3/23, 4:51:01 PM,C,15.592
