1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A90000006D9F9141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Mar 02 15:42:01 PST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 04 23:42:01 PDT 2023
Total Mission Samples:  4895
Total Device Samples:  28641
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/4/23, 11:42:01 PM,C,6.523
4/5/23, 12:42:01 AM,C,7.024
4/5/23, 1:42:01 AM,C,6.021
4/5/23, 2:42:01 AM,C,4.016
4/5/23, 3:42:01 AM,C,5.52
4/5/23, 4:42:01 AM,C,5.52
4/5/23, 5:42:01 AM,C,2.512
4/5/23, 6:42:01 AM,C,3.014
4/5/23, 7:42:01 AM,C,13.035
4/5/23, 8:42:01 AM,C,18.542
4/5/23, 9:42:01 AM,C,21.044
4/5/23, 10:42:01 AM,C,24.045
4/5/23, 11:42:01 AM,C,25.045
4/5/23, 12:42:01 PM,C,25.545
4/5/23, 1:42:01 PM,C,27.545
4/5/23, 2:42:01 PM,C,23.545
4/5/23, 3:42:01 PM,C,21.544
4/5/23, 4:42:01 PM,C,19.042
4/5/23, 5:42:01 PM,C,15.539
4/5/23, 6:42:01 PM,C,12.034
4/5/23, 7:42:01 PM,C,10.531
4/5/23, 8:42:01 PM,C,10.03
4/5/23, 9:42:01 PM,C,9.529
4/5/23, 10:42:01 PM,C,6.523
4/5/23, 11:42:01 PM,C,5.019
4/6/23, 12:42:01 AM,C,6.523
4/6/23, 1:42:01 AM,C,6.021
4/6/23, 2:42:01 AM,C,5.52
4/6/23, 3:42:01 AM,C,6.523
4/6/23, 4:42:01 AM,C,6.021
4/6/23, 5:42:01 AM,C,5.52
4/6/23, 6:42:01 AM,C,4.518
4/6/23, 7:42:01 AM,C,14.037
4/6/23, 8:42:01 AM,C,19.042
4/6/23, 9:42:01 AM,C,25.045
4/6/23, 10:42:01 AM,C,25.045
4/6/23, 11:42:01 AM,C,27.545
4/6/23, 12:42:01 PM,C,30.044
4/6/23, 1:42:01 PM,C,29.044
4/6/23, 2:42:01 PM,C,27.545
4/6/23, 3:42:01 PM,C,23.045
4/6/23, 4:42:01 PM,C,21.044
4/6/23, 5:42:01 PM,C,17.04
4/6/23, 6:42:01 PM,C,13.536
4/6/23, 7:42:01 PM,C,10.531
4/6/23, 8:42:01 PM,C,9.028
4/6/23, 9:42:01 PM,C,5.52
4/6/23, 10:42:01 PM,C,6.523
4/6/23, 11:42:01 PM,C,5.52
4/7/23, 12:42:01 AM,C,7.525
4/7/23, 1:42:01 AM,C,8.026
4/7/23, 2:42:01 AM,C,8.527
4/7/23, 3:42:01 AM,C,8.026
4/7/23, 4:42:01 AM,C,8.527
4/7/23, 5:42:01 AM,C,8.026
4/7/23, 6:42:01 AM,C,8.026
4/7/23, 7:42:01 AM,C,17.04
4/7/23, 8:42:01 AM,C,24.045
4/7/23, 9:42:01 AM,C,28.544
4/7/23, 10:42:01 AM,C,29.544
4/7/23, 11:42:01 AM,C,28.045
4/7/23, 12:42:01 PM,C,28.045
4/7/23, 1:42:01 PM,C,24.545
4/7/23, 2:42:01 PM,C,24.045
4/7/23, 3:42:01 PM,C,21.544
4/7/23, 4:42:01 PM,C,19.543
4/7/23, 5:42:01 PM,C,16.54
4/7/23, 6:42:01 PM,C,14.537
4/7/23, 7:42:01 PM,C,12.034
4/7/23, 8:42:01 PM,C,10.03
4/7/23, 9:42:01 PM,C,8.527
4/7/23, 10:42:01 PM,C,7.024
4/7/23, 11:42:01 PM,C,6.523
4/8/23, 12:42:01 AM,C,8.026
4/8/23, 1:42:01 AM,C,7.024
4/8/23, 2:42:01 AM,C,6.021
4/8/23, 3:42:01 AM,C,7.525
4/8/23, 4:42:01 AM,C,7.525
4/8/23, 5:42:01 AM,C,7.525
4/8/23, 6:42:01 AM,C,6.523
4/8/23, 7:42:01 AM,C,11.533
4/8/23, 8:42:01 AM,C,22.044
4/8/23, 9:42:01 AM,C,26.545
4/8/23, 10:42:01 AM,C,28.544
4/8/23, 11:42:01 AM,C,29.044
4/8/23, 12:42:01 PM,C,28.544
4/8/23, 1:42:01 PM,C,27.545
4/8/23, 2:42:01 PM,C,23.045
4/8/23, 3:42:01 PM,C,22.044
4/8/23, 4:42:01 PM,C,19.543
4/8/23, 5:42:01 PM,C,17.04
4/8/23, 6:42:01 PM,C,15.038
4/8/23, 7:42:01 PM,C,13.035
4/8/23, 8:42:01 PM,C,11.032
4/8/23, 9:42:01 PM,C,9.028
4/8/23, 10:42:01 PM,C,8.026
4/8/23, 11:42:01 PM,C,7.525
4/9/23, 12:42:01 AM,C,7.525
4/9/23, 1:42:01 AM,C,8.026
4/9/23, 2:42:01 AM,C,8.026
4/9/23, 3:42:01 AM,C,7.525
4/9/23, 4:42:01 AM,C,6.021
4/9/23, 5:42:01 AM,C,7.525
4/9/23, 6:42:01 AM,C,6.523
4/9/23, 7:42:01 AM,C,17.541
4/9/23, 8:42:01 AM,C,24.545
4/9/23, 9:42:01 AM,C,28.045
4/9/23, 10:42:01 AM,C,34.041
4/9/23, 11:42:01 AM,C,34.041
4/9/23, 12:42:01 PM,C,34.54
4/9/23, 1:42:01 PM,C,35.539
4/9/23, 2:42:01 PM,C,32.542
4/9/23, 3:42:01 PM,C,29.044
4/9/23, 4:42:01 PM,C,25.545
4/9/23, 5:42:01 PM,C,21.544
4/9/23, 6:42:01 PM,C,18.041
4/9/23, 7:42:01 PM,C,16.039
4/9/23, 8:42:01 PM,C,12.034
4/9/23, 9:42:01 PM,C,11.533
4/9/23, 10:42:01 PM,C,12.034
4/9/23, 11:42:01 PM,C,13.536
4/10/23, 12:42:01 AM,C,12.034
4/10/23, 1:42:01 AM,C,13.536
4/10/23, 2:42:01 AM,C,13.035
4/10/23, 3:42:01 AM,C,13.035
4/10/23, 4:42:01 AM,C,13.035
4/10/23, 5:42:01 AM,C,12.534
4/10/23, 6:42:01 AM,C,12.534
4/10/23, 7:42:01 AM,C,20.543
4/10/23, 8:42:01 AM,C,26.545
4/10/23, 9:42:01 AM,C,32.542
4/10/23, 10:42:01 AM,C,36.038
4/10/23, 11:42:01 AM,C,37.037
4/10/23, 12:42:01 PM,C,36.538
4/10/23, 1:42:01 PM,C,34.041
4/10/23, 2:42:01 PM,C,31.043
4/10/23, 3:42:01 PM,C,28.045
4/10/23, 4:42:01 PM,C,25.045
4/10/23, 5:42:01 PM,C,21.044
4/10/23, 6:42:01 PM,C,19.042
4/10/23, 7:42:01 PM,C,16.54
4/10/23, 8:42:01 PM,C,14.037
4/10/23, 9:42:01 PM,C,12.034
4/10/23, 10:42:01 PM,C,12.534
4/10/23, 11:42:01 PM,C,13.536
4/11/23, 12:42:01 AM,C,13.035
4/11/23, 1:42:01 AM,C,12.534
4/11/23, 2:42:01 AM,C,12.034
4/11/23, 3:42:01 AM,C,11.032
4/11/23, 4:42:01 AM,C,10.531
4/11/23, 5:42:01 AM,C,8.026
4/11/23, 6:42:01 AM,C,7.525
4/11/23, 7:42:01 AM,C,19.543
4/11/23, 8:42:01 AM,C,28.045
4/11/23, 9:42:01 AM,C,32.542
4/11/23, 10:42:01 AM,C,34.54
4/11/23, 11:42:01 AM,C,34.041
4/11/23, 12:42:01 PM,C,33.541
4/11/23, 1:42:01 PM,C,33.042
4/11/23, 2:42:01 PM,C,29.044
4/11/23, 3:42:01 PM,C,26.045
4/11/23, 4:42:01 PM,C,22.544
4/11/23, 5:42:01 PM,C,20.043
4/11/23, 6:42:01 PM,C,18.041
4/11/23, 7:42:01 PM,C,14.537
4/11/23, 8:42:01 PM,C,12.034
4/11/23, 9:42:01 PM,C,11.032
4/11/23, 10:42:01 PM,C,10.531
4/11/23, 11:42:01 PM,C,9.529
4/12/23, 12:42:01 AM,C,9.529
4/12/23, 1:42:01 AM,C,8.527
4/12/23, 2:42:01 AM,C,8.527
4/12/23, 3:42:01 AM,C,10.531
4/12/23, 4:42:01 AM,C,10.531
4/12/23, 5:42:01 AM,C,10.531
4/12/23, 6:42:01 AM,C,10.531
4/12/23, 7:42:01 AM,C,11.032
4/12/23, 8:42:01 AM,C,11.533
4/12/23, 9:42:01 AM,C,12.534
4/12/23, 10:42:01 AM,C,14.037
4/12/23, 11:42:01 AM,C,17.04
4/12/23, 12:42:01 PM,C,20.543
4/12/23, 1:42:01 PM,C,21.044
4/12/23, 2:42:01 PM,C,18.542
4/12/23, 3:42:01 PM,C,17.04
4/12/23, 4:42:01 PM,C,14.537
4/12/23, 5:42:01 PM,C,13.536
4/12/23, 6:42:01 PM,C,12.034
4/12/23, 7:42:01 PM,C,11.533
4/12/23, 8:42:01 PM,C,11.032
4/12/23, 9:42:01 PM,C,11.032
4/12/23, 10:42:01 PM,C,11.032
4/12/23, 11:42:01 PM,C,11.032
4/13/23, 12:42:01 AM,C,11.032
4/13/23, 1:42:01 AM,C,10.531
4/13/23, 2:42:01 AM,C,10.531
4/13/23, 3:42:01 AM,C,10.531
4/13/23, 4:42:01 AM,C,11.032
4/13/23, 5:42:01 AM,C,10.531
4/13/23, 6:42:01 AM,C,10.03
4/13/23, 7:42:01 AM,C,11.032
4/13/23, 8:42:01 AM,C,18.542
4/13/23, 9:42:01 AM,C,24.545
4/13/23, 10:42:01 AM,C,20.043
4/13/23, 11:42:01 AM,C,16.54
4/13/23, 12:42:01 PM,C,16.039
4/13/23, 1:42:01 PM,C,18.041
4/13/23, 2:42:01 PM,C,15.539
4/13/23, 3:42:01 PM,C,14.037
4/13/23, 4:42:01 PM,C,14.037
4/13/23, 5:42:01 PM,C,12.534
4/13/23, 6:42:01 PM,C,12.034
4/13/23, 7:42:01 PM,C,11.032
4/13/23, 8:42:01 PM,C,10.531
4/13/23, 9:42:01 PM,C,10.03
4/13/23, 10:42:01 PM,C,8.527
4/13/23, 11:42:01 PM,C,8.026
4/14/23, 12:42:01 AM,C,7.525
4/14/23, 1:42:01 AM,C,7.024
4/14/23, 2:42:01 AM,C,4.016
4/14/23, 3:42:01 AM,C,4.016
4/14/23, 4:42:01 AM,C,6.021
4/14/23, 5:42:01 AM,C,5.019
4/14/23, 6:42:01 AM,C,6.021
4/14/23, 7:42:01 AM,C,8.026
4/14/23, 8:42:01 AM,C,16.54
4/14/23, 9:42:01 AM,C,24.045
4/14/23, 10:42:01 AM,C,23.545
4/14/23, 11:42:01 AM,C,26.545
4/14/23, 12:42:01 PM,C,26.045
4/14/23, 1:42:01 PM,C,26.045
4/14/23, 2:42:01 PM,C,24.545
4/14/23, 3:42:01 PM,C,22.544
4/14/23, 4:42:01 PM,C,20.043
4/14/23, 5:42:01 PM,C,14.537
4/14/23, 6:42:01 PM,C,12.534
4/14/23, 7:42:01 PM,C,10.531
4/14/23, 8:42:01 PM,C,7.525
4/14/23, 9:42:01 PM,C,6.523
4/14/23, 10:42:01 PM,C,4.016
4/14/23, 11:42:01 PM,C,5.019
4/15/23, 12:42:01 AM,C,5.019
4/15/23, 1:42:01 AM,C,4.518
4/15/23, 2:42:01 AM,C,5.019
4/15/23, 3:42:01 AM,C,6.021
4/15/23, 4:42:01 AM,C,6.021
4/15/23, 5:42:01 AM,C,5.52
4/15/23, 6:42:01 AM,C,5.019
4/15/23, 7:42:01 AM,C,13.035
4/15/23, 8:42:01 AM,C,20.043
4/15/23, 9:42:01 AM,C,26.045
4/15/23, 10:42:01 AM,C,29.044
4/15/23, 11:42:01 AM,C,31.043
4/15/23, 12:42:01 PM,C,32.542
4/15/23, 1:42:01 PM,C,33.042
4/15/23, 2:42:01 PM,C,31.543
4/15/23, 3:42:01 PM,C,27.045
4/15/23, 4:42:01 PM,C,24.045
4/15/23, 5:42:01 PM,C,18.542
4/15/23, 6:42:01 PM,C,16.039
4/15/23, 7:42:01 PM,C,11.533
4/15/23, 8:42:01 PM,C,8.026
4/15/23, 9:42:01 PM,C,7.024
4/15/23, 10:42:01 PM,C,9.529
4/15/23, 11:42:01 PM,C,10.03
4/16/23, 12:42:01 AM,C,6.021
4/16/23, 1:42:01 AM,C,5.52
4/16/23, 2:42:01 AM,C,7.024
4/16/23, 3:42:01 AM,C,7.525
4/16/23, 4:42:01 AM,C,6.523
4/16/23, 5:42:01 AM,C,7.024
4/16/23, 6:42:01 AM,C,7.525
4/16/23, 7:42:01 AM,C,16.039
4/16/23, 8:42:01 AM,C,21.544
4/16/23, 9:42:01 AM,C,27.545
4/16/23, 10:42:01 AM,C,30.044
4/16/23, 11:42:01 AM,C,29.544
4/16/23, 12:42:01 PM,C,29.544
4/16/23, 1:42:01 PM,C,30.044
4/16/23, 2:42:01 PM,C,27.545
4/16/23, 3:42:01 PM,C,25.045
4/16/23, 4:42:01 PM,C,22.044
4/16/23, 5:42:01 PM,C,17.541
4/16/23, 6:42:01 PM,C,15.038
4/16/23, 7:42:01 PM,C,12.534
4/16/23, 8:42:01 PM,C,9.529
4/16/23, 9:42:01 PM,C,7.525
4/16/23, 10:42:01 PM,C,7.024
4/16/23, 11:42:01 PM,C,7.525
4/17/23, 12:42:01 AM,C,7.525
4/17/23, 1:42:01 AM,C,5.52
4/17/23, 2:42:01 AM,C,5.019
4/17/23, 3:42:01 AM,C,5.52
4/17/23, 4:42:01 AM,C,5.019
4/17/23, 5:42:01 AM,C,5.019
4/17/23, 6:42:01 AM,C,5.019
4/17/23, 7:42:01 AM,C,10.531
4/17/23, 8:42:01 AM,C,15.038
4/17/23, 9:42:01 AM,C,17.04
4/17/23, 10:42:01 AM,C,17.541
4/17/23, 11:42:01 AM,C,23.545
4/17/23, 12:42:01 PM,C,23.545
4/17/23, 1:42:01 PM,C,24.045
4/17/23, 2:42:01 PM,C,22.044
4/17/23, 3:42:01 PM,C,20.043
4/17/23, 4:42:01 PM,C,17.04
4/17/23, 5:42:01 PM,C,13.536
4/17/23, 6:42:01 PM,C,11.533
4/17/23, 7:42:01 PM,C,10.531
4/17/23, 8:42:01 PM,C,11.032
4/17/23, 9:42:01 PM,C,11.533
4/17/23, 10:42:01 PM,C,11.533
4/17/23, 11:42:01 PM,C,11.533
4/18/23, 12:42:01 AM,C,11.533
4/18/23, 1:42:01 AM,C,11.533
4/18/23, 2:42:01 AM,C,11.032
4/18/23, 3:42:01 AM,C,10.531
4/18/23, 4:42:01 AM,C,10.03
4/18/23, 5:42:01 AM,C,9.028
4/18/23, 6:42:01 AM,C,10.531
4/18/23, 7:42:01 AM,C,11.533
4/18/23, 8:42:01 AM,C,14.537
4/18/23, 9:42:01 AM,C,19.543
4/18/23, 10:42:01 AM,C,29.544
4/18/23, 11:42:01 AM,C,29.544
4/18/23, 12:42:01 PM,C,23.045
4/18/23, 1:42:01 PM,C,22.044
4/18/23, 2:42:01 PM,C,24.045
4/18/23, 3:42:01 PM,C,22.544
4/18/23, 4:42:01 PM,C,19.042
4/18/23, 5:42:01 PM,C,16.54
4/18/23, 6:42:01 PM,C,15.038
4/18/23, 7:42:01 PM,C,11.533
4/18/23, 8:42:01 PM,C,9.028
4/18/23, 9:42:01 PM,C,7.024
4/18/23, 10:42:01 PM,C,5.52
4/18/23, 11:42:01 PM,C,6.021
4/19/23, 12:42:01 AM,C,5.019
4/19/23, 1:42:01 AM,C,3.515
4/19/23, 2:42:01 AM,C,3.515
4/19/23, 3:42:01 AM,C,2.011
4/19/23, 4:42:01 AM,C,3.014
4/19/23, 5:42:01 AM,C,4.518
4/19/23, 6:42:01 AM,C,6.021
4/19/23, 7:42:01 AM,C,13.536
4/19/23, 8:42:01 AM,C,15.038
4/19/23, 9:42:01 AM,C,18.542
4/19/23, 10:42:01 AM,C,19.543
4/19/23, 11:42:01 AM,C,24.045
4/19/23, 12:42:01 PM,C,28.544
4/19/23, 1:42:01 PM,C,26.545
4/19/23, 2:42:01 PM,C,25.545
4/19/23, 3:42:01 PM,C,23.045
4/19/23, 4:42:01 PM,C,21.044
4/19/23, 5:42:01 PM,C,16.54
4/19/23, 6:42:01 PM,C,13.536
4/19/23, 7:42:01 PM,C,12.034
4/19/23, 8:42:01 PM,C,11.032
4/19/23, 9:42:01 PM,C,12.034
4/19/23, 10:42:01 PM,C,11.032
4/19/23, 11:42:01 PM,C,9.529
4/20/23, 12:42:01 AM,C,9.529
4/20/23, 1:42:01 AM,C,8.026
4/20/23, 2:42:01 AM,C,8.527
4/20/23, 3:42:01 AM,C,9.028
4/20/23, 4:42:01 AM,C,10.03
4/20/23, 5:42:01 AM,C,8.527
4/20/23, 6:42:01 AM,C,9.529
4/20/23, 7:42:01 AM,C,18.542
4/20/23, 8:42:01 AM,C,22.544
4/20/23, 9:42:01 AM,C,26.045
4/20/23, 10:42:01 AM,C,30.044
4/20/23, 11:42:01 AM,C,33.541
4/20/23, 12:42:01 PM,C,35.04
4/20/23, 1:42:01 PM,C,33.541
4/20/23, 2:42:01 PM,C,33.541
4/20/23, 3:42:01 PM,C,29.544
4/20/23, 4:42:01 PM,C,28.544
4/20/23, 5:42:01 PM,C,21.044
4/20/23, 6:42:01 PM,C,18.041
4/20/23, 7:42:01 PM,C,15.038
4/20/23, 8:42:01 PM,C,12.534
4/20/23, 9:42:01 PM,C,12.534
4/20/23, 10:42:01 PM,C,10.531
4/20/23, 11:42:01 PM,C,9.529
4/21/23, 12:42:01 AM,C,11.032
4/21/23, 1:42:01 AM,C,9.028
4/21/23, 2:42:01 AM,C,9.529
4/21/23, 3:42:01 AM,C,8.026
4/21/23, 4:42:01 AM,C,6.523
4/21/23, 5:42:01 AM,C,9.028
4/21/23, 6:42:01 AM,C,9.529
4/21/23, 7:42:01 AM,C,21.544
4/21/23, 8:42:01 AM,C,28.045
4/21/23, 9:42:01 AM,C,34.041
4/21/23, 10:42:01 AM,C,37.536
4/21/23, 11:42:01 AM,C,40.531
4/21/23, 12:42:01 PM,C,40.032
4/21/23, 1:42:01 PM,C,38.535
4/21/23, 2:42:01 PM,C,38.036
4/21/23, 3:42:01 PM,C,36.038
4/21/23, 4:42:01 PM,C,30.543
4/21/23, 5:42:01 PM,C,25.045
4/21/23, 6:42:01 PM,C,21.044
4/21/23, 7:42:01 PM,C,18.542
4/21/23, 8:42:01 PM,C,19.042
4/21/23, 9:42:01 PM,C,17.541
4/21/23, 10:42:01 PM,C,15.038
4/21/23, 11:42:01 PM,C,14.537
4/22/23, 12:42:01 AM,C,17.04
4/22/23, 1:42:01 AM,C,16.039
4/22/23, 2:42:01 AM,C,10.531
4/22/23, 3:42:01 AM,C,10.03
4/22/23, 4:42:01 AM,C,9.028
4/22/23, 5:42:01 AM,C,11.533
4/22/23, 6:42:01 AM,C,10.531
4/22/23, 7:42:01 AM,C,23.045
4/22/23, 8:42:01 AM,C,29.044
4/22/23, 9:42:01 AM,C,33.541
4/22/23, 10:42:01 AM,C,36.538
4/22/23, 11:42:01 AM,C,38.036
4/22/23, 12:42:01 PM,C,39.034
4/22/23, 1:42:01 PM,C,37.536
4/22/23, 2:42:01 PM,C,36.538
4/22/23, 3:42:01 PM,C,34.041
4/22/23, 4:42:01 PM,C,30.044
4/22/23, 5:42:01 PM,C,24.045
4/22/23, 6:42:01 PM,C,21.544
4/22/23, 7:42:01 PM,C,18.542
4/22/23, 8:42:01 PM,C,15.038
4/22/23, 9:42:01 PM,C,14.537
4/22/23, 10:42:01 PM,C,14.037
4/22/23, 11:42:01 PM,C,13.035
4/23/23, 12:42:01 AM,C,12.534
4/23/23, 1:42:01 AM,C,12.034
4/23/23, 2:42:01 AM,C,10.531
4/23/23, 3:42:01 AM,C,12.034
4/23/23, 4:42:01 AM,C,10.531
4/23/23, 5:42:01 AM,C,9.529
4/23/23, 6:42:01 AM,C,9.028
4/23/23, 7:42:01 AM,C,23.045
4/23/23, 8:42:01 AM,C,30.044
4/23/23, 9:42:01 AM,C,32.042
4/23/23, 10:42:01 AM,C,34.041
4/23/23, 11:42:01 AM,C,33.541
4/23/23, 12:42:01 PM,C,32.542
4/23/23, 1:42:01 PM,C,32.042
4/23/23, 2:42:01 PM,C,30.543
4/23/23, 3:42:01 PM,C,27.545
4/23/23, 4:42:01 PM,C,25.045
4/23/23, 5:42:01 PM,C,21.544
4/23/23, 6:42:01 PM,C,19.042
4/23/23, 7:42:01 PM,C,16.039
4/23/23, 8:42:01 PM,C,14.037
4/23/23, 9:42:01 PM,C,12.034
4/23/23, 10:42:01 PM,C,10.531
4/23/23, 11:42:01 PM,C,10.531
4/24/23, 12:42:01 AM,C,8.527
4/24/23, 1:42:01 AM,C,8.527
4/24/23, 2:42:01 AM,C,10.03
4/24/23, 3:42:01 AM,C,11.032
4/24/23, 4:42:01 AM,C,10.531
4/24/23, 5:42:01 AM,C,10.531
4/24/23, 6:42:01 AM,C,10.531
4/24/23, 7:42:01 AM,C,12.034
4/24/23, 8:42:01 AM,C,15.539
4/24/23, 9:42:01 AM,C,21.544
4/24/23, 10:42:01 AM,C,28.045
4/24/23, 11:42:01 AM,C,31.043
4/24/23, 12:42:01 PM,C,30.044
4/24/23, 1:42:01 PM,C,31.043
4/24/23, 2:42:01 PM,C,29.544
4/24/23, 3:42:01 PM,C,27.045
4/24/23, 4:42:01 PM,C,24.045
4/24/23, 5:42:01 PM,C,20.043
4/24/23, 6:42:01 PM,C,17.541
4/24/23, 7:42:01 PM,C,14.537
4/24/23, 8:42:01 PM,C,12.034
4/24/23, 9:42:01 PM,C,12.034
4/24/23, 10:42:01 PM,C,9.529
4/24/23, 11:42:01 PM,C,11.533
4/25/23, 12:42:01 AM,C,11.032
4/25/23, 1:42:01 AM,C,11.533
4/25/23, 2:42:01 AM,C,11.533
4/25/23, 3:42:01 AM,C,11.032
4/25/23, 4:42:01 AM,C,10.531
4/25/23, 5:42:01 AM,C,10.531
4/25/23, 6:42:01 AM,C,10.531
4/25/23, 7:42:01 AM,C,11.533
4/25/23, 8:42:01 AM,C,15.539
4/25/23, 9:42:01 AM,C,17.04
4/25/23, 10:42:01 AM,C,25.545
4/25/23, 11:42:01 AM,C,28.544
4/25/23, 12:42:01 PM,C,28.544
4/25/23, 1:42:01 PM,C,29.544
4/25/23, 2:42:01 PM,C,27.545
4/25/23, 3:42:01 PM,C,25.045
4/25/23, 4:42:01 PM,C,22.544
4/25/23, 5:42:01 PM,C,20.043
4/25/23, 6:42:01 PM,C,17.04
4/25/23, 7:42:01 PM,C,14.537
4/25/23, 8:42:01 PM,C,12.034
4/25/23, 9:42:01 PM,C,10.531
4/25/23, 10:42:01 PM,C,10.03
4/25/23, 11:42:01 PM,C,7.525
4/26/23, 12:42:01 AM,C,8.026
4/26/23, 1:42:01 AM,C,10.531
4/26/23, 2:42:01 AM,C,9.028
4/26/23, 3:42:01 AM,C,8.026
4/26/23, 4:42:01 AM,C,7.024
4/26/23, 5:42:01 AM,C,8.527
4/26/23, 6:42:01 AM,C,8.527
4/26/23, 7:42:01 AM,C,17.541
4/26/23, 8:42:01 AM,C,25.545
4/26/23, 9:42:01 AM,C,32.542
4/26/23, 10:42:01 AM,C,37.037
4/26/23, 11:42:01 AM,C,39.533
4/26/23, 12:42:01 PM,C,39.034
4/26/23, 1:42:01 PM,C,36.538
4/26/23, 2:42:01 PM,C,33.541
4/26/23, 3:42:01 PM,C,32.542
4/26/23, 4:42:01 PM,C,30.044
4/26/23, 5:42:01 PM,C,24.045
4/26/23, 6:42:01 PM,C,21.044
4/26/23, 7:42:01 PM,C,17.541
4/26/23, 8:42:01 PM,C,13.035
4/26/23, 9:42:01 PM,C,12.034
4/26/23, 10:42:01 PM,C,11.533
4/26/23, 11:42:01 PM,C,12.534
4/27/23, 12:42:01 AM,C,11.032
4/27/23, 1:42:01 AM,C,11.032
4/27/23, 2:42:01 AM,C,11.032
4/27/23, 3:42:01 AM,C,12.034
4/27/23, 4:42:01 AM,C,11.533
4/27/23, 5:42:01 AM,C,7.525
4/27/23, 6:42:01 AM,C,8.527
4/27/23, 7:42:01 AM,C,22.044
4/27/23, 8:42:01 AM,C,28.544
4/27/23, 9:42:01 AM,C,33.541
4/27/23, 10:42:01 AM,C,36.538
4/27/23, 11:42:01 AM,C,36.038
4/27/23, 12:42:01 PM,C,35.539
4/27/23, 1:42:01 PM,C,36.038
4/27/23, 2:42:01 PM,C,32.042
4/27/23, 3:42:01 PM,C,30.543
